Date,Open,High,Low,Close,Volume
2014-01-02,151.475,152.71,150.955,151.416,2325414.1579942
2014-01-03,150.946,153.102,150.828,152.514,2508624.3398113
2014-01-06,153.357,155.062,153.131,153.542,3450836.4706622
2014-01-07,154.728,154.935,151.964,152.641,3196680.0838707
2014-01-08,152.808,153.151,151.74,152.758,2584042.8188601
2014-01-09,153.327,153.327,151.171,151.857,2513494.5575065
2014-01-10,151.857,152.984,151.514,152.718,2929922.1490938
2014-01-13,152.651,152.651,150.407,150.544,3298672.013461
2014-01-14,150.906,151.945,150.426,151.161,2584595.8584559
2014-01-15,151.514,153.827,151.514,153.014,4143383.875793
2014-01-16,153.014,153.052,149.358,149.994,5510017.1631641
2014-01-17,149.847,151.759,149.358,150.886,4037644.1335915
2014-01-21,150.093,150.328,146.682,148.28,6008809.9009003
2014-01-22,148.476,149.496,147.927,148.652,2901505.9134787
2014-01-23,147.603,147.603,144.682,146.162,4649625.3018123
2014-01-24,144.272,145.476,143.144,143.517,4885208.9455727
2014-01-27,143.027,143.478,139.92,140.988,6541568.6572067
2014-01-28,141.273,142.576,140.89,142.341,3726299.1670475
2014-01-29,140.361,142.203,140.067,140.293,4076087.5280774
2014-01-30,141.518,142.272,140.87,141.978,3329992.2171383
2014-01-31,140.195,142.105,139.813,140.488,3996193.7138494
2014-02-03,141.371,141.684,136.784,136.823,5972064.3991955
2014-02-04,137.372,139.175,136.853,138.48,3932226.8277593
2014-02-05,137.469,139.224,137.235,137.313,3781590.8822086
2014-02-06,137.95,138.646,137.068,138.48,4436862.1941405
2014-02-07,139.352,139.449,137.185,138.607,5845359.1503981
2014-02-10,137.823,138.49,137.195,137.803,5059793.9545056
2014-02-11,137.989,141.224,137.225,140.724,5880325.1298611
2014-02-12,140.803,141.429,139.744,139.969,3583176.1929799
2014-02-13,139.165,140.734,138.744,140.43,3665233.1879149
2014-02-14,139.841,140.803,139.469,140.136,4931362.2426157
2014-02-18,140.47,141.753,140.136,140.95,4002143.4811613
2014-02-19,140.303,142.282,139.518,139.773,4358040.7869516
2014-02-20,140.038,141.224,139.244,140.803,3103174.5570819
2014-02-21,140.645,141.801,140.508,140.803,3038831.1551046
2014-02-24,140.734,143.301,140.45,142.567,3817643.5538662
2014-02-25,142.213,142.36,139.676,139.959,4329680.6715904
2014-02-26,140.205,140.773,138.087,139.861,4642922.5027259
2014-02-27,139.724,142.41,139.44,142.066,4432120.542846
2014-02-28,141.557,144.145,141.361,142.968,4996843.3552004
2014-03-03,141.273,142.008,140.567,141.488,3673277.7712604
2014-03-04,143.124,144.967,142.723,144.938,4019797.8927602
2014-03-05,144.996,148.505,144.526,147.653,5198701.7872996
2014-03-06,148.349,149.446,148.162,148.26,3967896.8613202
2014-03-07,149.553,150.788,148.662,149.7,4767986.9993646
2014-03-10,149.093,149.917,148.142,149.006,2551635.9229881
2014-03-11,149.407,149.407,145.888,145.918,4467448.7530405
2014-03-12,145.281,145.997,144.135,145.761,2987230.1119326
2014-03-13,146.438,147.074,143.076,143.164,3983251.3628657
2014-03-14,143.351,143.771,141.753,142.047,3215696.6870939
2014-03-17,142.899,144.996,142.85,143.291,3734186.6136814
2014-03-18,143.664,145.183,143.448,144.399,2260085.0802799
2014-03-19,144.722,146.143,143.252,144.478,4114433.9875789
2014-03-20,144.202,146.408,143.664,145.34,4599360.9410581
2014-03-21,145.732,146.005,143.361,143.399,5583033.6953337
2014-03-24,143.654,144.291,141.811,142.35,3170213.7719964
2014-03-25,143.086,143.791,139.861,140.195,5166317.3395292
2014-03-26,141.488,141.724,138.9,138.91,3024233.7668067
2014-03-27,138.98,140.253,138.087,139.401,4529180.0122772
2014-03-28,139.332,141.027,138.519,139.411,3062520.0245809
2014-03-31,140.175,140.988,139.342,140.734,2903949.6954564
2014-04-01,141.508,142.811,141.057,142.507,3872051.6301158
2014-04-02,142.497,143.889,142.35,143.664,2802507.7443572
2014-04-03,143.703,144.008,141.724,142.654,2721053.7870627
2014-04-04,143.448,143.478,139.901,140.195,3803724.7104597
2014-04-07,139.969,140.156,136.079,136.176,5408844.589285
2014-04-08,136.303,136.363,133.54,134.481,7967374.1202237
2014-04-09,134.961,136.588,134.373,135.823,4667423.5853354
2014-04-10,136.049,136.47,133.834,133.971,5594574.0603309
2014-04-11,132.648,132.688,130.247,131.139,7521887.4610185
2014-04-14,132.785,133.235,131.787,132.913,3554986.4791179
2014-04-15,133.118,134.011,131.502,133.06,4237317.9572504
