Date,Open,High,Low,Close,Volume
1/4/2010,86.705,87.4819,86.015,87.4353,154164947
1/5/2010,87.3929,87.6975,87.0771,87.667,144619532
1/6/2010,87.5854,87.9358,87.5089,87.7137,150444938
1/7/2010,87.5712,88.2019,87.3358,88.1023,169908131
1/8/2010,87.8564,88.4334,87.6859,88.3952,163831612
1/11/2010,88.7855,88.8211,88.1397,88.5215,137874348
1/12/2010,87.9261,88.1204,87.3608,87.6859,211697735
1/13/2010,87.909,88.6862,87.4736,88.4334,209738666
1/14/2010,88.3341,88.8298,88.2803,88.6792,150068238
1/15/2010,88.5215,88.6067,87.3538,87.6764,275141779
1/19/2010,87.6582,88.8211,87.6399,88.7855,180382739
1/20/2010,88.175,88.3081,87.1749,87.8564,280594536
1/21/2010,87.8832,88.1665,86.0512,86.1662,446975101
1/22/2010,85.7909,86.1988,84.1666,84.2625,448378647
1/25/2010,85.031,85.1955,84.405,84.6826,242291111
1/26/2010,84.3544,85.2376,84.1324,84.3267,273697429
1/27/2010,84.23,84.9285,83.5828,84.7352,352364511
1/28/2010,85.0136,85.0665,83.2536,83.7765,409704858
1/29/2010,84.1324,84.7084,82.7215,82.8497,402671654
2/1/2010,83.4335,84.1504,82.9397,84.1504,243493172
2/2/2010,84.2863,85.342,84.0031,85.1678,280384215
2/3/2010,84.7668,85.2464,84.4893,84.7352,223877480
2/4/2010,84.0815,84.1256,82.1109,82.1271,462341892
2/5/2010,82.217,82.4659,80.6876,82.2889,639740359
2/8/2010,82.3578,82.8086,81.6342,81.6993,290544381
2/9/2010,82.6525,83.4335,81.9913,82.7215,437851669
2/10/2010,82.5941,83.0153,81.8687,82.5625,311728828
2/11/2010,82.4573,83.5236,81.9767,83.4258,289798751
2/12/2010,82.5445,83.4059,82.1769,83.358,394822966
2/16/2010,83.9858,84.743,83.6565,84.6576,206492545
2/17/2010,85.0834,85.1955,84.6576,85.0751,218841375
2/18/2010,84.9285,85.764,84.8883,85.589,251067139
2/19/2010,85.3594,86.0606,85.1516,85.764,288623529
2/22/2010,86.0427,86.0706,85.5258,85.7727,171535731
2/23/2010,85.5497,85.7909,84.4978,84.7171,268938384
2/24/2010,84.9698,85.6598,84.7504,85.5162,228569405
2/25/2010,84.2776,85.4694,84.0461,85.3966,336514535
2/26/2010,85.4787,85.7468,84.9543,85.4599,224990360
3/1/2010,85.7909,86.4101,85.7814,86.3211,191447624
3/2/2010,86.705,86.9883,86.4101,86.5679,208663481
3/3/2010,86.7901,87.1653,86.4196,86.6436,195433542
3/4/2010,86.7671,87.0323,86.4284,86.9128,175973012
3/5/2010,87.4736,88.2105,87.2716,88.1492,228268909
3/8/2010,88.1569,88.36,88.0056,88.1665,148574314
3/9/2010,87.8919,88.7235,87.8378,88.3081,200322108
3/10/2010,88.3511,88.9454,88.2718,88.7041,241191147
3/11/2010,88.5023,89.1063,88.2201,89.0795,208512436
3/12/2010,89.471,89.4893,88.8298,89.0882,210066361
3/15/2010,88.9285,89.1683,88.4238,89.1149,190290400
3/16/2010,89.3646,89.8941,89.1149,89.803,218543917
3/17/2010,90.0836,90.6483,89.8126,90.3477,230017772
3/18/2010,90.3574,90.4932,89.9408,90.3008,254696906
3/19/2010,90.2366,90.4932,89.1415,89.4893,293751298
3/22/2010,88.9723,90.1198,88.9093,89.9573,239103006
3/23/2010,90.0836,90.6721,89.7849,90.5813,237111976
3/24/2010,90.2444,90.6001,89.1683,90.1478,254274732
3/25/2010,90.7544,91.1757,89.8855,89.9916,289545635
3/26/2010,90.1746,90.5909,89.5973,89.9485,266750002
3/29/2010,90.4128,90.6721,90.0263,90.52,174343997
3/30/2010,90.6289,90.8979,90.2002,90.5735,188936756
3/31/2010,90.2283,90.6721,89.9666,90.274,208775314
4/1/2010,90.8732,91.2407,90.3477,90.8732,208952231
4/5/2010,91.2407,91.6981,90.9728,91.6254,137189904
