Date,Open,High,Low,Close,Volume
2014-01-02,6.89045,7.25009,6.83222,7.25009,1880453.6126182
2014-01-03,7.30844,7.31802,7.0266,7.07507,1536718.5923878
2014-01-06,7.14319,7.36679,7.0266,7.11396,1463997.7789342
2014-01-07,7.07507,7.18209,6.89045,7.16263,1353076.5320422
2014-01-08,7.08484,7.20143,6.91968,7.06539,1448524.9421509
2014-01-09,7.0946,7.0946,6.85146,6.86133,998713.62287382
2014-01-10,6.9877,7.37636,6.95868,7.35701,1662998.212524
2014-01-13,7.36679,7.66799,7.20143,7.5125,1939726.47968
2014-01-14,7.49295,7.82347,7.24033,7.28899,2416604.8805732
2014-01-15,7.28899,7.53185,7.11396,7.48338,1309860.9748781
2014-01-16,7.55139,7.70688,7.5125,7.55139,1104789.9219206
2014-01-17,7.67776,8.09555,7.59997,7.93029,2653368.1524791
2014-01-21,7.94016,8.20256,7.69711,8.10532,2690466.4944986
2014-01-22,8.06633,8.19279,7.91095,7.96929,1195133.0556045
2014-01-23,8.12467,8.38717,8.10532,8.12467,1341963.4392535
2014-01-24,8.22192,8.31915,7.62909,7.86246,1923426.0613812
2014-01-27,7.79436,7.84282,7.37636,7.39591,1893484.2229211
2014-01-28,7.39591,7.68734,7.33766,7.64854,1091824.1405245
2014-01-29,7.83335,7.92061,7.50273,7.8526,1626058.9039168
2014-01-30,7.59997,7.74578,7.52218,7.72624,995206.78418686
2014-01-31,7.83335,7.86246,7.42504,7.60965,1377052.0851566
2014-02-03,7.64854,7.84282,7.44448,7.4736,1167830.9692007
2014-02-04,7.30844,7.42504,7.01682,7.34714,2536507.9699368
2014-02-05,7.58052,7.96929,7.54162,7.80412,2303172.5264875
2014-02-06,7.84282,8.26081,7.84282,8.04697,1819137.6220347
2014-02-07,8.19279,8.9022,8.10532,8.85373,3064707.56727
2014-02-10,8.96054,9.27122,8.9022,9.07723,2008574.7788932
2014-02-11,9.1646,9.54339,9.11603,9.26174,2318842.8888467
2014-02-12,9.28099,9.4654,8.96054,9.07723,2385916.4967313
2014-02-13,9.05758,9.65593,9.00922,9.59275,1969257.0597613
2014-02-14,10.1159,10.2247,9.82475,10.04,3231472.8398156
2014-02-18,10.185,10.428,9.94325,10.04,2106240.5402109
2014-02-19,9.92343,10.1258,9.54339,9.60263,2596054.3339499
2014-02-20,9.6125,10.1752,9.49503,10.1455,2018279.8688586
2014-02-21,10.1752,10.575,9.95308,10.195,2230868.0361708
2014-02-24,10.3401,10.6748,10.2927,10.4565,1875347.3232418
2014-02-25,10.4083,10.4714,10.0488,10.2444,1871578.1300719
2014-02-26,10.1752,10.3401,10.0488,10.2247,2031252.7409164
2014-02-27,10.2049,10.5059,10.0488,10.1653,1955715.9218158
2014-02-28,9.93334,10.1703,9.86424,10.0212,2097853.3003704
2014-03-03,10.2828,10.5158,10.2049,10.3312,1777689.6655375
2014-03-04,10.195,10.4467,10.0163,10.3687,1282051.3996868
2014-03-05,10.3983,10.6796,10.3589,10.575,1361424.2667676
2014-03-06,10.6214,10.8565,10.6047,10.7982,1749636.981945
2014-03-07,10.6116,10.729,10.4862,10.6314,1325909.1682108
2014-03-10,10.6116,10.6116,10.2828,10.4467,1283286.1877745
2014-03-11,10.5158,10.6796,10.2444,10.2828,1886877.7521193
2014-03-12,10.3786,10.6609,10.3687,10.6314,1643480.6597162
2014-03-13,10.5849,11.0301,10.5355,11.0203,1669443.6240102
2014-03-14,11.119,11.3608,10.9718,11.2444,1840560.5369367
2014-03-17,11.5168,11.8673,11.0449,11.0598,5336297.2735896
2014-03-18,10.8662,11.5849,10.5454,11.3708,2426396.0714305
2014-03-19,11.195,11.3608,10.9621,10.9907,2266624.2172256
2014-03-20,10.8565,11.1872,10.7192,11.0203,1935563.2483099
2014-03-21,11.2246,11.3511,10.6994,10.8366,12038412.998298
2014-03-24,10.575,10.6796,9.97189,10.0765,2764748.2664783
2014-03-25,10.1455,10.3836,10.0666,10.2641,1227598.1566783
2014-03-26,10.2541,10.3687,9.45553,9.6125,2274093.7228517
2014-03-27,9.52365,9.90373,9.33874,9.79513,2326630.4612977
2014-03-28,9.74677,10.19,9.64113,9.93334,1245810.0147815
2014-03-31,9.92343,9.97189,9.57301,9.651,1096191.9881323
2014-04-01,9.67075,10.0301,9.6125,9.71912,1371949.847587
2014-04-02,9.87411,10.0962,9.81489,10.04,1330939.4862118
2014-04-03,9.98164,10.0015,9.67075,9.86424,974569.91978196
2014-04-04,10.1061,10.3322,9.96194,10.1455,1150342.358591
2014-04-07,10.1061,10.5642,10.0242,10.1258,1361585.3260835
2014-04-08,10.3687,10.6314,10.2147,10.5602,1429580.7199892
2014-04-09,10.4762,10.8565,10.2828,10.6896,983291.43367418
2014-04-10,10.7488,10.8465,10.2344,10.2927,1374319.1415468
2014-04-11,10.2828,10.3687,9.82475,9.95308,1183747.4788161
2014-04-14,10.0015,10.2444,9.88399,10.1061,955286.3588103
2014-04-15,9.729,9.74677,9.28099,9.63125,1500841.8700841
2014-04-16,9.67075,9.6895,9.41802,9.54339,679881.00653733
2014-04-17,9.50489,9.64113,9.30094,9.32888,1006590.3350719
2014-04-21,9.30982,9.36847,8.92165,9.23262,903433.36274266
2014-04-22,9.21327,9.44664,9.06747,9.4279,1307059.1505546
2014-04-23,9.40814,9.85437,9.26174,9.64113,999896.75042621
2014-04-24,9.51378,9.73689,9.32888,9.33874,991828.59036217
2014-04-25,9.44664,9.7665,9.40814,9.6895,909012.70054966
2014-04-28,9.67964,9.71912,9.26076,9.3191,1305197.3453822
2014-04-29,9.33874,9.77638,9.32888,9.67075,965589.09026183
2014-04-30,9.59275,9.7665,9.3884,9.63125,834379.4343401
2014-05-01,9.51378,9.74677,9.40814,9.54339,661029.97592942
2014-05-02,9.60263,10.04,9.54339,9.90373,1504015.4476711
2014-05-05,10.0212,10.1061,9.75664,9.79513,715090.1936894
2014-05-06,9.82475,9.91362,9.58289,9.62928,610341.87428409
2014-05-07,9.56315,9.63125,9.14515,9.22295,1013188.7022606
2014-05-08,9.19383,9.34872,9.08681,9.12571,634796.55353911
2014-05-09,8.97032,9.10637,8.01775,8.18292,1909673.2165363
2014-05-12,8.24126,8.29586,7.61951,7.64854,2167241.5028246
2014-05-13,7.59997,7.80412,7.57075,7.68734,1055676.9601246
2014-05-14,7.80412,8.03721,7.72624,7.93029,1513541.2451906
2014-05-15,7.84282,7.84282,7.5125,7.53185,1292950.759673
2014-05-16,7.49295,7.5125,7.28899,7.50273,765310.31166247
2014-05-19,7.58052,7.65821,7.45436,7.65821,641670.44358238
2014-05-20,7.57075,7.65821,7.45436,7.5125,796510.23609848
2014-05-21,7.36679,7.37636,7.05572,7.30844,1323571.2757528
2014-05-22,7.38614,7.4346,7.20143,7.31802,693148.64753153
2014-05-23,7.31802,7.31802,7.05572,7.14319,877169.55180221
2014-05-27,7.0266,7.04594,6.52114,6.53092,2202269.3716274
2014-05-28,6.53092,6.56004,6.28796,6.49202,1945220.7295466
2014-05-29,6.48225,6.58916,6.34641,6.35578,1815739.1691766
2014-05-30,6.40464,6.40464,6.19951,6.35578,1225677.600309
2014-06-02,6.30741,6.40464,6.13247,6.23938,1280853.0778594
2014-06-03,6.22962,6.32192,6.10336,6.23938,767112.35268619
2014-06-04,6.22962,6.43377,6.19062,6.36565,820148.47630622
2014-06-05,6.42399,6.84199,6.41433,6.74464,1524998.7415477
2014-06-06,6.73497,6.73497,6.54069,6.57948,990262.56707792
2014-06-09,6.60861,6.73497,6.58916,6.59903,692392.98558454
2014-06-10,6.66694,7.01682,6.66694,6.99748,1066501.3616869
2014-06-11,7.0266,7.35701,7.00704,7.32779,1266172.3692834
2014-06-12,7.37636,7.69711,7.32779,7.58052,1708439.2245106
2014-06-13,7.54162,7.78457,7.30844,7.736,1534905.4088957
2014-06-16,7.94974,7.94974,7.39591,7.46383,1374744.5812489
2014-06-17,7.34714,7.59997,7.0946,7.44448,1502405.867465
2014-06-18,7.40549,7.69711,7.40549,7.67776,1427376.5371519
2014-06-19,7.92061,8.28992,7.8138,8.22192,2687426.6265322
2014-06-20,8.20256,8.25103,7.90116,8.12467,3378136.0864387
2014-06-23,8.10532,8.42597,8.01785,8.35805,1221791.9176969
2014-06-24,8.42597,8.82451,8.08587,8.10532,1839584.0515253
2014-06-25,8.08587,8.27048,7.95951,8.19279,1263227.7187741
2014-06-26,8.09555,8.26081,7.99841,8.22192,1027955.5117286
2014-06-27,8.22192,8.3774,7.94016,8.16366,1251556.4896143
2014-06-30,7.99841,8.46497,7.91095,8.4163,1164905.5647733
2014-07-01,8.42597,8.58156,8.29971,8.33841,871145.52821139
2014-07-02,8.28992,8.67861,8.26081,8.44542,1088428.7265214
2014-07-03,8.31915,8.53288,8.17344,8.50366,690426.84639003
2014-07-07,8.4163,8.57178,8.36763,8.44542,797147.3826999
2014-07-08,8.55243,8.71759,8.3774,8.61068,1601250.7045285
2014-07-09,8.66892,9.07723,8.53288,8.95078,2271485.3722975
2014-07-10,9.37824,9.41802,8.55243,8.56201,2510988.678475
2014-07-11,8.59122,8.94011,8.43584,8.93142,1396603.0653696
2014-07-14,8.58156,8.89253,8.50366,8.63022,1203661.0957274
2014-07-15,8.89253,8.97999,8.34334,8.35805,2064418.8045469
2014-07-16,8.43584,8.69814,8.43584,8.58156,1562390.8395521
2014-07-17,8.66892,9.54339,8.61068,9.40814,4463632.3178708
2014-07-18,9.37824,9.3884,9.01888,9.21327,1793750.0142901
2014-07-21,9.30094,9.40814,8.85847,9.13548,1759131.3779627
2014-07-22,9.05758,9.12571,8.87308,8.92165,1176182.7557329
2014-07-23,8.92165,9.12571,8.68353,8.72737,1427577.1015828
2014-07-24,8.63022,8.64948,8.42597,8.52322,1375277.3938281
2014-07-25,8.51353,9.00922,8.47463,8.99934,1280082.2216373
2014-07-28,8.89253,9.30094,8.88286,9.26174,1317735.6611729
2014-07-29,9.27122,9.34872,9.09658,9.18415,874176.27961273
2014-07-30,9.07723,9.134,8.86321,9.07723,1021672.17251
2014-07-31,8.94109,9.03834,8.82451,8.92165,1050523.0620196
2014-08-01,8.99934,9.14515,8.62035,8.79519,1587490.7690218
2014-08-04,8.74671,8.79519,8.13454,8.20256,1981013.3768615
2014-08-05,8.13454,8.39685,8.02753,8.38717,1493064.4271498
2014-08-06,8.56201,8.88286,8.50366,8.70772,1619243.7650705
2014-08-07,8.77593,9.08681,8.40652,9.04801,1736406.8201625
2014-08-08,9.08681,9.44664,8.98977,9.21327,1806992.3314926
2014-08-11,9.28099,9.60362,9.28099,9.49503,1541180.6445011
2014-08-12,9.52365,9.82475,9.37044,9.4654,1723017.6249678
2014-08-13,9.44664,9.61942,9.26174,9.39828,1018445.921436
2014-08-14,9.40814,9.52365,9.12571,9.1646,950121.31823696
2014-08-15,8.93142,9.26174,8.84396,9.18415,1113223.7575381
2014-08-18,9.08207,9.34872,9.03834,9.34369,982937.9135408
2014-08-19,9.33874,9.35858,9.00922,9.13548,772833.50372722
2014-08-20,9.19383,9.28584,9.01888,9.13548,779086.45439582
2014-08-21,8.91198,9.01888,8.66892,8.81483,1603394.1102655
2014-08-22,8.82451,8.88286,8.66892,8.83409,846721.2375065
2014-08-25,8.79519,8.82451,8.54266,8.54266,958438.66441222
2014-08-26,8.67861,8.97999,8.62035,8.97032,1172470.2878565
2014-08-27,8.95078,9.10637,8.9021,8.95078,678852.86059068
2014-08-28,9.06747,9.12571,8.97999,9.06747,635746.70220704
2014-08-29,8.99934,9.26174,8.93142,9.10637,798051.94854261
2014-09-02,8.94109,8.95078,8.70772,8.75155,922001.7798342
2014-09-03,8.77593,8.81483,8.52322,8.52322,1336222.029179
2014-09-04,8.57178,8.62035,7.7749,7.80412,2732046.1347133
2014-09-05,7.83335,8.02763,7.60965,7.8526,1820368.3583158
2014-09-08,7.57075,7.77402,7.4346,7.46383,1277671.3966589
2014-09-09,7.35701,7.53185,6.87111,7.38614,2649422.7057183
2014-09-10,7.23055,7.46383,7.18209,7.28899,1197743.4320621
2014-09-11,7.29868,7.56107,7.12383,7.54162,1492634.9356411
2014-09-12,7.5125,7.57075,7.26945,7.28899,1077914.2881705
2014-09-15,7.28899,7.35701,7.12383,7.2112,826176.55170374
2014-09-16,7.2112,7.38614,7.06539,7.26945,1091249.7969267
2014-09-17,7.27932,7.27932,6.92945,6.99748,1823758.7075604
2014-09-18,6.97792,6.97792,6.77377,6.77377,1756190.7792601
2014-09-19,6.76419,6.90981,6.28796,6.28796,9367775.0327705
2014-09-22,6.34641,6.34641,5.98667,6.13247,2511409.0534187
2014-09-23,6.21984,6.52114,6.21984,6.44344,1652421.9841211
2014-09-24,6.41423,6.43022,6.1227,6.24906,1696124.7710393
2014-09-25,6.13247,6.42399,6.1227,6.39477,1357126.3128251
2014-09-26,6.36565,6.44344,6.22962,6.27828,1160094.0443333
2014-09-29,6.28796,6.45313,6.15182,6.17127,999013.4565686
2014-09-30,6.11303,6.21016,5.86998,5.92832,1984899.0594737
2014-10-01,5.99633,6.08391,5.83098,5.86998,1896802.6525973
2014-10-02,5.92832,5.93808,5.62712,5.74371,1545534.3107854
2014-10-03,5.62712,5.62712,5.3354,5.3354,2175502.1237062
2014-10-06,5.44251,5.50066,5.25771,5.47154,1848715.8108445
2014-10-07,5.52988,5.52988,5.0731,5.13144,2198325.95077
2014-10-08,5.27715,5.7826,4.9953,5.75338,4669943.2236745
2014-10-09,5.79238,5.8216,5.31605,5.44251,3428449.3959655
2014-10-10,5.43274,5.74371,5.17991,5.34517,2124739.0636372
2014-10-13,5.43274,5.53955,5.2967,5.32591,2188120.4626789
2014-10-14,5.40351,5.65625,5.3743,5.49098,2876246.8958229
2014-10-15,5.42296,5.7145,5.38417,5.58329,3045806.9020301
2014-10-16,5.50066,5.8991,5.46186,5.6756,2195928.2941634
